filename,original_path,new_path,category,keywords,snippet
A199 - Nguyen Minh Kiet (Water + Old people).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet (Water + Old people).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\A199 - Nguyen Minh Kiet (Water + Old people).md,student/essays,essay;LNY;KT;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet (Water + Old people)"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet (Water + Old people).docx"" ---  ![](data:image"
A199 - Nguyen Minh Kiet - (1).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet - (1).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet - (1).md,education/lesson_plans,plan;essay;LNY;exam;KT;DE;DE;AI;outline,"--- title: ""A199 - Nguyen Minh Kiet - (1)"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet - (1).docx"" ---  ![](data:image/png;base64,iVBORw0KGgoAAAANSU"
A199 - Nguyen Minh Kiet - 06_05_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet - 06_05_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet - 06_05_2023.md,education/lesson_plans,plan;essay;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet - 06_05_2023"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet - 06_05_2023.docx"" ---  Task 1:  #### **Task Achieveme"
A199 - Nguyen Minh Kiet - 20_5_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet - 20_5_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet - 20_5_2023.md,education/lesson_plans,plan;essay;LNY;exam;KT;KTDT;DE;DE;DHBB;AI;computer;khoa,"--- title: ""A199 - Nguyen Minh Kiet - 20_5_2023"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet - 20_5_2023.docx"" ---  ![](data:image/png;base64,iVBORw"
A199 - Nguyen Minh Kiet - 24_06_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet - 24_06_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet - 24_06_2023.md,education/lesson_plans,plan;essay;exam;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet - 24_06_2023"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet - 24_06_2023.docx"" ---  24/06/2023  Task 1:  **1. Task"
A199 - Nguyen Minh Kiet - Government and Society.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet - Government and Society.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\A199 - Nguyen Minh Kiet - Government and Society.md,student/essays,essay;LNY;exam;KT;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet - Government and Society"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet - Government and Society.docx"" ---  1.  **"
A199 - Nguyen Minh Kiet Theme 1.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet Theme 1.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet Theme 1.md,education/lesson_plans,plan;essay;test;exam;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet Theme 1"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet Theme 1.docx"" ---  Theme 1: Animals  Topic 1: **Some people"
A199 - Nguyen Minh Kiet Theme 2.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet Theme 2.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet Theme 2.md,education/lesson_plans,plan;essay;test;exam;DE;DE;technology;AI;technology,"--- title: ""A199 - Nguyen Minh Kiet Theme 2"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet Theme 2.docx"" ---  Theme 2: Music and arts  **Topic 1: Art "
A199 - Nguyen Minh Kiet Theme 3 - TÁCH MỖI ESSAY 1 FILE EM ƠI_.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet Theme 3 - TÁCH MỖI ESSAY 1 FILE EM ƠI_.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet Theme 3 - TÁCH MỖI ESSAY 1 FILE EM ƠI_.md,education/lesson_plans,teaching;essay;exam;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet Theme 3 - TÁCH MỖI ESSAY 1 FILE EM ƠI_"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet Theme 3 - TÁCH MỖI ESSAY 1 F"
A199 - Nguyen Minh Kiet- Topic 2_ Crime and Punishment.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet- Topic 2_ Crime and Punishment.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\A199 - Nguyen Minh Kiet- Topic 2_ Crime and Punishment.md,student/essays,essay;writing;writing;exam;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet- Topic 2_ Crime and Punishment"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet- Topic 2_ Crime and Punishment.docx"""
A199 - Nguyen Minh Kiet.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\A199 - Nguyen Minh Kiet.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\A199 - Nguyen Minh Kiet.md,education/lesson_plans,plan;essay;LNY;KT;DE;DE;AI,"--- title: ""A199 - Nguyen Minh Kiet"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/A199 - Nguyen Minh Kiet.docx"" ---  ![](data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAA4UAAA"
aaaa.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\aaaa.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\aaaa.md,education/lesson_plans,lesson;essay;DE;DE;AI,"--- title: ""aaaa"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/aaaa.docx"" ---  1. **Read the following extract and use your own words to summarize it. Your summary should be"
AI.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\AI.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\AI.md,education/lesson_plans,plan;essay;exam;DE;DE;AI,"--- title: ""AI"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/AI.docx"" ---  Write an essay of about 350 words on the following topic.  Some believe that artificial intelligen"
copy for myself.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\copy for myself.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\copy for myself.md,student/essays,essay;LNY;exam;KT;DE;DE;AI;copy for myself,"--- title: ""copy for myself"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/copy for myself.docx"" ---  ![](data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAABGgAAAIUCAIAAADJ2I3nAA"
Copy of A199 - Nguyen Minh Kiet - 06_05_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Copy of A199 - Nguyen Minh Kiet - 06_05_2023.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Copy of A199 - Nguyen Minh Kiet - 06_05_2023.md,education/lesson_plans,plan;essay;DE;DE;AI,"--- title: ""Copy of A199 - Nguyen Minh Kiet - 06_05_2023"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Copy of A199 - Nguyen Minh Kiet - 06_05_2023.docx"" ---  Task 1:  The l"
Copy of Daklak(1).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Copy of Daklak(1).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Copy of Daklak(1).md,education/lesson_plans,lesson;plan;teaching;essay;writing;homework;writing;LNY;homework;my essay;test;exam;KT;KTDT;DE;DE;DHBB;technology;AI;computer;technology;khoa;outline;notes,"--- title: ""Copy of Daklak(1)"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Copy of Daklak(1).docx"" ---  **HW**  **Make outline for the following chart (overview + paragraph"
Copy of Daklak(2).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Copy of Daklak(2).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Copy of Daklak(2).md,education/lesson_plans,lesson;plan;teaching;essay;writing;homework;writing;LNY;homework;my essay;test;exam;KT;KTDT;DE;DE;DHBB;technology;AI;computer;technology;khoa;outline;notes,"--- title: ""Copy of Daklak(2)"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Copy of Daklak(2).docx"" ---  **HW 1 for Lesson 6**  ***The graph below shows the hours of teachin"
Copy of Daklak.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Copy of Daklak.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Copy of Daklak.md,education/lesson_plans,lesson;plan;teaching;essay;writing;homework;writing;LNY;homework;my essay;test;exam;KT;KTDT;DE;DE;DHBB;technology;AI;computer;technology;khoa;outline;notes,"--- title: ""Copy of Daklak"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Copy of Daklak.docx"" ---  **HW for lesson 5 - make an outline (view 1 + view 2)**  *Some people beli"
Copy of Nguyen Minh Kiet - Essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Copy of Nguyen Minh Kiet - Essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Copy of Nguyen Minh Kiet - Essay.md,student/essays,essay;exam;DE;DE;technology;AI;technology,"--- title: ""Copy of Nguyen Minh Kiet - Essay"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Copy of Nguyen Minh Kiet - Essay.docx"" ---  Write an essay of about 350 words on t"
Copy of Vu Nguyen - Technology.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Copy of Vu Nguyen - Technology.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Copy of Vu Nguyen - Technology.md,education/lesson_plans,plan;teaching;essay;test;exam;DE;DE;technology;AI;computer;technology,"--- title: ""Copy of Vu Nguyen - Technology"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Copy of Vu Nguyen - Technology.docx"" ---  Technology  1. **VR/AR PLATFORM** (A VR/AR"
DE HSGQG-2024.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\DE HSGQG-2024.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\DE HSGQG-2024.md,education/lesson_plans,plan;essay;writing;writing;test;exam;DE HSGQG;DE;DE;technology;AI;technology,"--- title: ""DE HSGQG-2024"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/DE HSGQG-2024.docx"" ---  |  |  |  |  |  |  | | --- | --- | --- | --- | --- | --- | | **ĐIỂM** | | | *"
deadline total death.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\deadline total death.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\deadline total death.md,education/lesson_plans,plan;teaching;essay;test;exam;DE;DE;technology;AI;technology,"--- title: ""deadline total death"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/deadline total death.docx"" ---  THEME 1: ANIMALS  TOPIC 1: SOME PEOPLE THINK THAT KEEPING PETS"
DH24.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\DH24.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\DH24.md,student/essays,essay;writing;writing;test;exam;KT;DE;DE;technology;AI;computer;technology,"--- title: ""DH24"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/DH24.docx"" ---  **DH24.11 HB**  **Part 1. Read the following text and use your own words to summarize it. Your"
Due 14_2_2025 Writing - HW.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Due 14_2_2025 Writing - HW.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Due 14_2_2025 Writing - HW.md,education/lesson_plans,lesson;teaching;essay;writing;writing;LNY;test;KT;DE;DE;AI;khoa,"--- title: ""Due 14_2_2025 Writing - HW"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Due 14_2_2025 Writing - HW.docx"" ---  **Task 1:**![](data:image/png;base64,iVBORw0KGgoAA"
essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\essay.md,student/essays,essay;writing;writing;exam;KT;DE;DE;technology;AI;computer;technology,"--- title: ""essay"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/essay.docx"" ---  **Some people think that the increasing use of computers and mobile phones in communication "
EXAMPLE FOR MISTAKES THAT YOU NEED TO ESCHEW IN YOUR ESSAY.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\EXAMPLE FOR MISTAKES THAT YOU NEED TO ESCHEW IN YOUR ESSAY.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\EXAMPLE FOR MISTAKES THAT YOU NEED TO ESCHEW IN YOUR ESSAY.md,student/essays,essay;homework;homework;test;exam;DE;DE;AI,"--- title: ""EXAMPLE FOR MISTAKES THAT YOU NEED TO ESCHEW IN YOUR ESSAY"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/EXAMPLE FOR MISTAKES THAT YOU NEED TO ESCHEW IN YOUR ESS"
HG.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\HG.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\HG.md,education/lesson_plans,teaching;essay;LNY;exam;KT;DE;DE;AI,"--- title: ""HG"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/HG.docx"" ---  **HG**  ***Part 1. Read the following extract and use your own words to summarize it. Your summary"
HMD_TA11_DA+HDC DE XUAT_DHBB 14.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\HMD_TA11_DA+HDC DE XUAT_DHBB 14.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\HMD_TA11_DA+HDC DE XUAT_DHBB 14.md,education/lesson_plans,plan;essay;writing;writing;exam;ĐỀ;DE;de xuat;de xuat;DE;DHBB;technology;AI;technology;notes,"--- title: ""HMD_TA11_DA+HDC DE XUAT_DHBB 14"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/HMD_TA11_DA+HDC DE XUAT_DHBB 14.docx"" ---  **TRƯỜNG THPT CHUYÊN HUỲNH MẪN ĐẠT**  **"
Key ngay 1 chinh thuc.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Key ngay 1 chinh thuc.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Key ngay 1 chinh thuc.md,education/lesson_plans,plan;essay;writing;writing;exam;kỳ thi;ĐỀ;DE;DE;technical;AI,"--- title: ""Key ngay 1 chinh thuc"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Key ngay 1 chinh thuc.docx"" ---  |  |  | | --- | --- | | **SỞ GIÁO DỤC VÀ ĐÀO TẠO THÁI BÌNH**"
KTDDTQG24.QNA(1).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\KTDDTQG24.QNA(1).md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\KTDDTQG24.QNA(1).md,student/essays,essay;exam;KT;DE;DE;technical;AI,"--- title: ""KTDDTQG24.QNA(1)"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/KTDDTQG24.QNA(1).docx"" ---  **KTDDTQG24.QNA**  **Part 1:**  The extract discusses the causes of co"
KTDDTQG24.QNA.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\KTDDTQG24.QNA.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\KTDDTQG24.QNA.md,student/essays,essay;exam;KT;DE;DE;technical;AI,"--- title: ""KTDDTQG24.QNA"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/KTDDTQG24.QNA.docx"" ---  **KTDDTQG24.QNA**  **Part 1:**  The extract discusses the causes of consiste"
KTDT24.BG.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\KTDT24.BG.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\KTDT24.BG.md,student/essays,essay;test;KT;KTDT;DE;DE;AI,"--- title: ""KTDT24.BG"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/KTDT24.BG.docx"" ---  **KTDT 24.BG**  Part 3: Some argue that letter grades and rankings motivate students"
Lesson Plan.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Lesson Plan.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\Lesson Plan.md,education/lesson_plans,lesson;plan;lesson plan;essay;homework;homework;test;DE;DE;AI,"--- title: ""Lesson Plan"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Lesson Plan.docx"" ---  ## **Date: 07/01/2025**  ## **IELTS Lesson Plan: Reading and Listening briefing "
LNY HW - Writing.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\LNY HW - Writing.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\LNY HW - Writing.md,education/lesson_plans,lesson;plan;essay;writing;homework;writing;LNY;homework;exam;KT;DE;DE;technology;AI;technology;khoa,"--- title: ""LNY HW - Writing"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/LNY HW - Writing.docx"" ---  **HOMEWORK LUNAR NEW YEAR**  TASK 1:  1. The pie chart below shows the"
Minh Kiet 12CA - DNA.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Minh Kiet 12CA - DNA.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Minh Kiet 12CA - DNA.md,student/essays,essay;exam;DE;DE;technical;AI;computer,"--- title: ""Minh Kiet 12CA - DNA"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Minh Kiet 12CA - DNA.docx"" ---  Part 3: **Some people believe that teenagers should focus on a"
MOCK TEST.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\MOCK TEST.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\MOCK TEST.md,education/lesson_plans,lesson;essay;writing;writing;mock test;test;exam;MOCK TEST;KT;DE;DE;technology;technical;AI;computer;technology;khoa;outline,"--- title: ""MOCK TEST"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/MOCK TEST.docx"" ---  ## **a11/03/2025**  Listening: https://ieltsonlinetests.com/ielts-mock-test-2024-jun"
my answers.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\my answers.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\my answers.md,student/essays,essay;writing;writing;exam;ĐỀ;DE;DE;AI;outline,"--- title: ""my answers"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/my answers.docx"" ---  - How did you manage your time effectively during the writing exam?  Với mình, sau"
my essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\my essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\my essay.md,student/essays,essay;my essay;test;DE;DE;AI,"--- title: ""my essay"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/my essay.docx"" ---  **DH24.11.QN**  Part 1.  The extract discusses the pitfalls associated with landfills,"
Nguyen Minh Kiet - A199.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Nguyen Minh Kiet - A199.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Nguyen Minh Kiet - A199.md,student/essays,essay;writing;writing;LNY;KT;KTDT;DE;DE;technical;AI,"--- title: ""Nguyen Minh Kiet - A199"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Nguyen Minh Kiet - A199.docx"" ---  The table shows the number of exchange students from uni"
Nguyen Minh Kiet - Essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Nguyen Minh Kiet - Essay.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Nguyen Minh Kiet - Essay.md,student/essays,essay;exam;DE;DE;technology;AI;technology,"--- title: ""Nguyen Minh Kiet - Essay"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Nguyen Minh Kiet - Essay.docx"" ---  Write an essay of about 350 words on the following top"
Nguyen Minh Kiet A199.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Nguyen Minh Kiet A199.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Nguyen Minh Kiet A199.md,student/essays,essay;writing;writing;test;exam;DE;DE;technology;AI;computer;technology,"--- title: ""Nguyen Minh Kiet A199"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Nguyen Minh Kiet A199.docx"" ---  18/03/2023  1. Task Achievement (Score: 7): The text effecti"
nostalgic documents.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\nostalgic documents.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\education\lesson_plans\nostalgic documents.md,education/lesson_plans,lesson;plan;teaching;essay;writing;homework;writing;LNY;homework;my essay;test;exam;KT;KTDT;DE;DE;DHBB;technology;technical;AI;computer;technology;khoa;outline;notes;nostalgic,"--- title: ""nostalgic documents"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/nostalgic documents.docx"" ---  **Final reflection**  | **Name** | **What I have gained during t"
Outline for my speech.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Outline for my speech.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Outline for my speech.md,student/essays,essay;writing;writing;my essay;test;DE;DE;AI;outline;outline for my speech,"--- title: ""Outline for my speech"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Outline for my speech.docx"" ---  ## **Introduction:**  * **Self-introduction:** My name’s Kie"
README_DATASETS.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\README_DATASETS.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\tests\mock\README_DATASETS.md,tests/mock,exam;DE;DE;AI,"# Datasets: automated download, conversion, sampling, and cleanup  This folder contains scripts and guidance to: gather legal/academic/wiki data, convert to Markdown, sample, and keep only what you ne"
Some people think that schools should reward students who show the best academic results.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Some people think that schools should reward students who show the best academic results.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Some people think that schools should reward students who show the best academic results.md,student/essays,essay;exam;DE;DE;AI,"--- title: ""Some people think that schools should reward students who show the best academic results"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Some people think that sch"
Some scientists believe that in the future computers will be more intelligent than human beings.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\Some scientists believe that in the future computers will be more intelligent than human beings.md,C:\Users\Admin\Downloads\drive-download-20251225T152443Z-3-001\datasets\raw_docs\student\essays\Some scientists believe that in the future computers will be more intelligent than human beings.md,student/essays,essay;exam;DE;DE;technology;AI;computer;technology,"--- title: ""Some scientists believe that in the future computers will be more intelligent than human beings"" source: ""C:/Users/Admin/Downloads/drive-download-20251225T152443Z-3-001/Some scientists bel"
